id,name,driver,user_strategy,remin_strategy,result,gap_seconds,created_at
43,Anonymous,RUS,Med (25L) → Med (27L),Soft (15L) → Hard (37L),win,12.038,2026-03-24 04:47:47.087957+00
44,Anonymous,RUS,Soft (14L) → Hard (38L),Med (22L) → Hard (30L),lose,2.322,2026-03-24 04:50:42.059659+00
45,Anonymous,RUS,Soft (14L) → Med (26L) → Soft (12L),Med (22L) → Hard (30L),win,14.059,2026-03-24 04:51:37.809495+00
46,MAX,RUS,Soft (25L) → Med (27L),Soft (13L) → Med (18L) → Hard (21L),win,22.378,2026-03-24 05:01:45.425373+00
47,MAX,RUS,Soft (25L) → Med (27L),Soft (13L) → Med (18L) → Hard (21L),win,22.378,2026-03-24 05:05:17.359962+00
48,MAX 31,VER,Soft (11L) → Med (18L) → Hard (23L),Med (22L) → Hard (30L),win,9.197,2026-03-24 05:10:43.097034+00
49,Vishal,RUS,Soft (12L) → Med (25L) → Soft (15L),Med (22L) → Hard (30L),win,15.083,2026-03-24 05:22:07.411409+00
50,31,VER,Med (17L) → Hard (35L),Soft (15L) → Hard (37L),win,7.65,2026-03-24 05:23:38.355152+00
51,Saran,LEC,Soft (15L) → Med (26L) → Soft (11L),Soft (17L) → Med (19L) → Hard (16L),win,11.141,2026-03-24 05:23:50.238546+00
52,Vishal,LEC,Med (25L) → Hard (27L),Soft (15L) → Hard (37L),win,1.279,2026-03-24 05:24:10.221675+00
53,Anonymous,RUS,Hard (37L) → Soft (15L),Soft (17L) → Med (19L) → Hard (16L),lose,5.001,2026-03-24 05:24:14.367993+00
54,Anonymous,RUS,Soft (14L) → Hard (38L),Med (22L) → Hard (30L),lose,2.322,2026-03-24 05:24:43.708155+00
55,Vishal,VER,Hard (30L) → Med (22L),Soft (17L) → Med (19L) → Hard (16L),win,8.179,2026-03-24 05:24:48.632787+00
56,Anonymous,RUS,Soft (12L) → Hard (29L) → Soft (11L),Med (22L) → Hard (30L),lose,2.868,2026-03-24 05:25:48.397855+00
57,Vishal,VER,Soft (15L) → Hard (37L),Soft (17L) → Med (19L) → Hard (16L),win,9.505,2026-03-24 05:25:49.982802+00
58,31,VER,Soft (17L) → Med (35L),Soft (17L) → Med (19L) → Hard (16L),win,27.334,2026-03-24 05:25:54.252416+00
59,Saran,VER,Med (19L) → Soft (16L) → Soft (17L),Soft (15L) → Hard (37L),win,33.421,2026-03-24 05:26:05.520211+00
60,Saran,VER,Med (19L) → Soft (16L) → Soft (17L),Soft (15L) → Hard (37L),win,33.421,2026-03-24 05:26:22.731354+00
61,Saran,VER,Med (19L) → Soft (16L) → Soft (17L),Soft (15L) → Hard (37L),win,33.421,2026-03-24 05:26:24.89349+00
62,Anonymous,RUS,Med (26L) → Hard (26L),Soft (15L) → Hard (37L),lose,0.252,2026-03-24 05:26:33.210415+00
63,Saran,RUS,Hard (15L) → Med (18L) → Soft (19L),Soft (17L) → Med (19L) → Hard (16L),lose,1.063,2026-03-24 05:27:16.508642+00
64,63,RUS,Med (32L) → Soft (20L),Soft (15L) → Hard (37L),win,19.378,2026-03-24 05:27:19.131056+00
65,Anonymous,RUS,Med (19L) → Hard (26L) → Soft (7L),Soft (15L) → Hard (37L),lose,10.976,2026-03-24 05:27:24.854091+00
66,63,RUS,Med (32L) → Soft (20L),Soft (15L) → Hard (37L),win,19.378,2026-03-24 05:27:52.925806+00
67,Saran,LEC,Soft (14L) → Med (22L) → Soft (16L),Med (22L) → Hard (30L),win,19.98,2026-03-24 05:28:04.442042+00
68,Anonymous,RUS,Med (33L) → Hard (19L),Soft (15L) → Hard (37L),lose,3.764,2026-03-24 05:28:23.701168+00
69,Vishal,RUS,Soft (17L) → Med (24L) → Soft (11L),Soft (17L) → Med (19L) → Hard (16L),win,11.087,2026-03-24 05:28:49.210751+00
70,Anonymous,RUS,Soft (16L) → Hard (36L),Soft (17L) → Med (19L) → Hard (16L),lose,3.349,2026-03-24 05:28:54.053224+00
71,Anonymous,RUS,Med (33L) → Soft (19L),Soft (15L) → Hard (37L),win,3.354,2026-03-24 05:29:32.144206+00
72,Anonymous,LEC,Soft (15L) → Med (20L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),lose,0.283,2026-03-24 05:29:38.022219+00
73,Mahe,VER,Soft (17L) → Soft (18L) → Med (17L),Soft (17L) → Med (19L) → Hard (16L),win,30.298,2026-03-24 05:30:27.866516+00
74,Mahe,VER,Med (17L) → Soft (18L) → Soft (17L),Soft (15L) → Hard (37L),win,34.205,2026-03-24 05:31:37.552636+00
75,Vishal,LEC,Med (20L) → Med (20L) → Soft (12L),Soft (15L) → Hard (37L),win,25.61,2026-03-24 05:31:58.745383+00
76,Mahe,VER,Soft (17L) → Hard (18L) → Soft (17L),Soft (17L) → Med (19L) → Hard (16L),win,19.897,2026-03-24 05:32:18.971922+00
77,Mahe,VER,Med (17L) → Med (18L) → Med (17L),Soft (15L) → Hard (37L),win,13.363,2026-03-24 05:32:44.444923+00
78,Vishal,RUS,Hard (40L) → Soft (12L),Soft (17L) → Med (19L) → Hard (16L),lose,10.713,2026-03-24 05:35:20.847181+00
79,Vishal,RUS,Med (27L) → Med (25L),Soft (15L) → Hard (37L),win,12.038,2026-03-24 05:36:53.012814+00
80,Maran,RUS,Med (6L) → Med (4L) → Med (4L) → Med (17L) → Med (6L) → Med (11L) → Med (4L),Soft (15L) → Hard (37L),lose,78.742,2026-03-24 06:04:29.515245+00
81,Maran,RUS,Med (6L) → Med (4L) → Med (4L) → Med (17L) → Soft (6L) → Hard (11L) → Hard (4L),Soft (15L) → Hard (37L),lose,99.304,2026-03-24 06:05:16.276393+00
82,Maran,RUS,Soft (6L) → Soft (4L) → Med (8L) → Med (5L) → Hard (4L) → Hard (7L) → Hard (14L) → Hard (4L),Med (22L) → Hard (30L),lose,109.505,2026-03-24 06:06:57.681833+00
83,Maran,RUS,Soft (6L) → Soft (13L) → Med (7L) → Med (4L) → Hard (4L) → Hard (6L) → Hard (4L) → Hard (4L) → Hard (4L),Med (22L) → Hard (30L),lose,123.223,2026-03-24 06:07:53.950937+00
84,Maran,RUS,Soft (6L) → Med (7L) → Med (5L) → Hard (7L) → Hard (4L) → Hard (6L) → Hard (4L) → Hard (4L) → Hard (4L) → Hard (5L),Med (22L) → Hard (30L),lose,158.813,2026-03-24 06:09:25.929833+00
85,Maran,RUS,Med (6L) → Med (7L) → Med (5L) → Hard (7L) → Hard (4L) → Hard (6L) → Hard (4L) → Hard (4L) → Hard (4L) → Hard (5L),Soft (15L) → Hard (37L),lose,163.202,2026-03-24 06:09:49.244071+00
86,93,VER,Soft (17L) → Med (18L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),win,11.408,2026-03-24 06:10:58.695426+00
87,Balaguru,VER,Soft (13L) → Med (22L) → Hard (17L),Med (22L) → Hard (30L),win,13.24,2026-03-24 06:26:20.863421+00
88,Maran,VER,Soft (4L) → Med (18L) → Hard (30L),Med (22L) → Hard (30L),lose,3.837,2026-03-24 06:29:50.720969+00
89,Maran,VER,Soft (10L) → Med (18L) → Hard (24L),Med (22L) → Hard (30L),win,7.681,2026-03-24 06:30:44.787952+00
90,Maran,VER,Soft (17L) → Med (18L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),win,11.408,2026-03-24 06:37:20.416488+00
91,Maran,VER,Soft (17L) → Med (18L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),win,11.408,2026-03-24 06:37:54.436869+00
92,Maran,VER,Soft (17L) → Med (18L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),win,11.408,2026-03-24 06:37:59.626447+00
93,Maran,VER,Soft (17L) → Med (18L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),win,11.408,2026-03-24 06:39:05.076723+00
94,Maran,VER,Soft (17L) → Med (18L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),win,11.408,2026-03-24 06:39:06.736831+00
95,Anonymous,VER,Soft (20L) → Med (14L) → Hard (18L),Soft (13L) → Med (18L) → Hard (21L),win,15.353,2026-03-24 06:41:07.676503+00
96,Mahe,VER,Hard (23L) → Soft (15L) → Med (14L),Soft (17L) → Med (19L) → Hard (16L),lose,7.899,2026-03-24 06:43:07.554327+00
97,Mahe,VER,Soft (15L) → Soft (15L) → Hard (22L),Soft (17L) → Med (19L) → Hard (16L),win,16.068,2026-03-24 06:43:50.183504+00
98,Anonymous,VER,Soft (14L) → Med (20L) → Hard (18L),Med (22L) → Hard (30L),win,9.84,2026-03-24 06:43:52.334777+00
99,My shayla,RUS,Soft (13L) → Med (18L) → Hard (21L),Med (22L) → Hard (30L),lose,1.604,2026-03-24 09:35:37.554234+00
100,My shayla,RUS,Soft (15L) → Med (20L) → Hard (17L),Soft (17L) → Med (19L) → Hard (16L),lose,3.241,2026-03-24 09:36:24.054276+00
101,Sabarish,VER,Soft (20L) → Med (17L) → Hard (15L),Soft (13L) → Med (18L) → Hard (21L),win,13.626,2026-03-24 09:53:54.977576+00
102,Vishal,RUS,Soft (10L) → Med (27L) → Soft (15L),Med (22L) → Hard (30L),win,11.387,2026-03-24 12:54:46.087892+00
103,Vishal,RUS,Soft (14L) → Med (25L) → Soft (13L),Med (22L) → Hard (30L),win,15.252,2026-03-24 12:55:41.773543+00
104,Vishal,VER,Med (20L) → Hard (32L),Soft (15L) → Hard (37L),win,10.592,2026-03-24 12:57:12.717245+00
105,Vishal,RUS,Hard (40L) → Soft (12L),Soft (17L) → Med (19L) → Hard (16L),lose,8.713,2026-03-24 12:58:32.705072+00
106,Vishal,RUS,Hard (30L) → Med (22L),Soft (17L) → Med (19L) → Hard (16L),win,1.261,2026-03-24 12:59:34.170067+00
107,Vishal,RUS,Soft (15L) → Med (30L) → Soft (7L),Soft (17L) → Med (19L) → Hard (16L),win,2.807,2026-03-24 13:00:36.478318+00
108,63,LEC,Soft (25L) → Med (27L),Med (30L) → Soft (22L),lose,11.48,2026-03-24 13:15:36.471224+00
109,63,LEC,Soft (10L) → Med (24L) → Soft (18L),Soft (20L) → Hard (32L),win,7.051,2026-03-24 13:17:08.016501+00
110,31,VER,Soft (10L) → Med (32L) → Soft (10L),Soft (20L) → Hard (32L),win,0.102,2026-03-24 13:42:59.833475+00
111,31,VER,Soft (10L) → Med (32L) → Soft (10L),Soft (20L) → Hard (32L),win,5.302,2026-03-24 13:46:25.064378+00
112,31,VER,Soft (10L) → Hard (32L) → Med (10L),Med (26L) → Soft (14L) → Hard (12L),lose,0.072,2026-03-24 13:48:19.06546+00
